ID,Reference,Status,Situation,Found in Previous Selection?,Criteria
48,"[S48] P. Kruchten, R.L. Nord, I. Ozkaya, D. Falessi, Technical debt:towards a crisper definition report on the 4th InternationalWorkshop on Managing Technical Debt, SIGSOFT Software Engineering Notes 38 (5) (2013) 51â€“54.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
49,"[S49] O. Ktata, G. LÃ©vesque, Designing and implementing a measurement program for Scrum teams: what do agile developersreally need and want?, in: Proceedings of the 3rd Câˆ— Conference on Computer Science and Software Engineering (C3S2Eâ€™10),ACM, Montreal, Quebec, Canada, 2010, pp. 101â€“107.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
50,"[S50] J.-L. Letouzey, The SQALE method for evaluating technicaldebt, in: Proceedings of the 3rd International Workshop onManaging Technical Debt (MTDâ€™12), IEEE, Zurich, Switzerland,2012, pp. 31â€“36.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
51,"[S51] J.-L. Letouzey, M. Ilkiewicz, Managing technical debt withthe SQALE method, IEEE Software 29 (6) (2012) 44â€“51.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
52,"[S52] E. Lim, N. Taksande, C. Seaman, A balancing act: what software practitioners have to say about technical debt, IEEE Software 29 (6) (2012) 22â€“27.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
53,"[S53] M. Lindgren, R. Land, C. Norstrom, A.Wall, Key aspects of software release planning in industry, in: Proceedings of the 19thAustralian Conference on Software Engineering (ASWECâ€™08),IEEE, Perth, Australia, 2008, pp. 320â€“329.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
54,"[S54] M. Lindgren, A. Wall, R. Land, C. Norstrom, A method for balancing short- and long-term investments: quality vs. features,in: Proceedings of the 34th Euromicro Conference Software Engineering and Advanced Applications (SEAAâ€™08), IEEE, Parma,Italy, 2008, pp. 175â€“182.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
55,"[S55] R. Marinescu, Assessing technical debt by identifying designflaws in software systems, IBM Journal of Research and Development 56 (5) (2012) 9:1â€“9:13.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
56,"[S56] J.D. McGregor, J.Y. Monteith, Z. Jie, Technical debt aggregation in ecosystems, in: Proceedings of the 3rd InternationalWorkshop on Managing Technical Debt (MTDâ€™12), IEEE, Zurich,Switzerland, 2012, pp. 27â€“30.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
57,"[S57] R. Mo, J. Garcia, Y. Cai, N. Medvidovic, Mapping architectural decay instances to dependency models, in: Proceedingsof the 4th International Workshop on Managing Technical Debt(MTDâ€™13), IEEE, San Francisco, CA, USA, 2013, pp. 39â€“46.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
58,"[S58] J.Y. Monteith, J.D. McGregor, Exploring software supplychains from a technical debt perspective, in: Proceedings ofthe 4th International Workshop on Managing Technical Debt(MTDâ€™13), IEEE, San Francisco, CA, USA, 2013, pp. 32â€“38.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
59,"[S59] J.D. Morgenthaler, M. Gridnev, R. Sauciuc, S. Bhansali, Searching for build debt: experiences managing technical debt atGoogle, in: Proceedings of the 3rd International Workshop onManaging Technical Debt (MTDâ€™12), IEEE, Zurich, Switzerland,2012, pp. 1â€“6.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
60,"[S60] C.J. Neill, P.A. Laplante, Paying down design debt with strategic refactoring, Computer 39 (12) (2006) 131â€“134.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
61,"[S61] R.L. Nord, I. Ozkaya, P. Kruchten, M. Gonzalez-Rojas, In searchof a metric for managing architectural technical debt, in: Proceedings of the 10th Working IEEE/IFIP Conference on SoftwareArchitecture (WICSAâ€™12), IEEE, Helsinki, Finland, 2012.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
62,"[S62] A. Nugroho, J. Visser, T. Kuipers, An empirical model of technical debt and interest, in: Proceedings of the 2nd International Workshop on Managing Technical Debt (MTDâ€™11), ACM,Waikiki, Honolulu, HI, USA, 2011, pp. 1â€“8.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
63,"[S63] D. Oâ€™Connor, Technical debt in semiconductor equipment:itâ€™s time to pay it down, Solid State Technology 53 (7) (2010)34â€“35.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
64,"[S64] K. Power, Understanding the impact of technical debt onthe capacity and velocity of teams and organizations: viewingteam and organization capacity as a portfolio of real options, in:Proceedings of the 4th International Workshop on ManagingTechnical Debt (MTDâ€™13), IEEE, San Francisco, CA, USA, 2013,pp. 28â€“31.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
65,"[S65] K. Pugh, The risks of acceptance test debt, Cutter IT Journal23 (10) (2010) 25â€“29.",Read,Rejected,No,[EC3] - The full text of the primary study is not available;
66,"[S66] N. Ramasubbu, C.F. Kemerer, Towards a model for optimizing technical debt in software products, in: Proceedings of the 4th International Workshop on Managing Technical Debt (MTDâ€™13), IEEE, San Francisco, CA, USA, 2013,pp. 51â€“54.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
67,"[S67] D. Rooney, Technical debt: challenging the metaphor, CutterIT Journal 23 (10) (2010) 16â€“18.",Read,Rejected,No,[EC3] - The full text of the primary study is not available;
68,"[S68] Y. Rubin, S. Kallner, N. Guy, G. Shachor, Restrainingtechnical debt when developing large-scale Ajax applications, in: The First International Conference on Buildingand Exploring Web Based Environments (WEBâ€™13) 2013,pp. 13â€“18.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
69,"[S69] P. Santos, A. Varella, C. Dantas, D. Borges, Visualizing andmanaging technical debt in agile development: an experiencereport, in: H. Baumeister, B. Weber (Eds.), Proceedings of the14th International Conference on Agile Software Development(XPâ€™13), Springer Berlin Heidelberg, Vienna, Austra, 2013, pp.121â€“134.",Read,Accepted,Yes,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
70,"[S70] K. Schmid, A formal approach to technical debt decision making, in: Proceedings of the 9th International ACMSigsoft Conference on Quality of Software Architectures(QoSAâ€™13), ACM, Vancouver, British Columbia, Canada, 2013,pp. 153â€“162.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
71,"[S71] K. Schmid, On the limits of the technical debt metaphor someguidance on going beyond, in: Proceedings of the 4th International Workshop on Managing Technical Debt (MTDâ€™13), IEEE,San Francisco, CA, USA, 2013, pp. 63â€“66.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
72,"[S72] C. Seaman, Y. Guo, Measuring and monitoring technical debt,in: M. Zelkowitz (Ed.), Advances in Computers, Elsevier, 2011,pp. 25â€“45.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
73,"[S73] C. Seaman, Y. Guo, C. Izurieta, Y. Cai, N. Zazworka, F. Shull, A.VetrÃ², Using technical debt data in decision making: potentialdecision approaches, in: Proceedings of the 3rd InternationalWorkshop on Managing Technical Debt (MTDâ€™12), IEEE, Zurich,Switzerland, 2012, pp. 45â€“48.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
74,"[S74] A.C. Shafer, Infrastructure debt: revisiting the foundation,Cutter IT Journal 23 (10) (2010) 36â€“41.",Read,Rejected,No,[EC3] - The full text of the primary study is not available;
75,"[S75] S. Shah, M. Torchiano, A. Vetro, M. Morisio, Exploratory testing as a source of testing technical debt, IT Professional PP (99)(2013) 1â€“1.",Read,Rejected,Yes,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
76,"[S76] F. Shull, Perfectionists in a world of finite resources, IEEESoftware 28 (2) (2011) 4â€“6.",Read,Rejected,Yes,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
77,"[S77] F. Shull, D. Falessi, C. Seaman, M. Diep, L. Layman, Technicaldebt: showing the way for better transfer of empirical results,in: J. MÃ¼nch, K. Schmid (Eds.), Perspectives on the Future ofSoftware Engineering, Springer Berlin Heidelberg, Berlin, Germany, 2013, pp. 179â€“190.",Read,Rejected,Yes,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
78,"[S78] C.A. Siebra, G.S. Tonin, F.Q.B. da Silva, R.G. Oliveira, L.C. Antonio, R.C.G. Miranda, A.L.M. Santos, Managing technical debt inpractice: an industrial report, in: Proceedings of the 6th ACMIEEE International Symposium on Empirical Software Engineering and Measurement (ESEMâ€™12), ACM, Lund, Scania, Sweden, 2012, pp. 247â€“250.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
79,"[S79] R. Smith, Computer system design, Journal of GXP Compliance 13 (2009) 44â€“48.",Read,Rejected,No,[EC3] - The full text of the primary study is not available;
80,"[S80] W. Snipes, B. Robinson, Y. Guo, C. Seaman, Defining the decision factors for managing defects: a technical debt perspective,in: Proceedings of the 3rd International Workshop on Managing Technical Debt (MTDâ€™12), IEEE, Zurich, Switzerland, 2012,pp. 54â€“60.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
81,"[S81] R.O. SpÃ­nola, N. Zazworka, A. VetrÃ², C. Seaman, F. Shull, Investigating technical debt folklore: shedding some light on technical debt opinion, in: Proceedings of the 4th InternationalWorkshop on Managing Technical Debt (MTDâ€™13), IEEE, SanFrancisco, CA, USA, 2013, pp. 1â€“7.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
82,"[S82] C. Sterling, Technical debt, in: Managing Software Debt â€“Building for Inevitable Change, Addison-Wesley Professional,Boston, USA, 2010, pp. 15â€“30.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
83,"[S83] M.G. Stochel, M.R. Wawrowski, M. Rabiej, Value-based technical debt model and its application, in: Proceedings of the 7thInternational Conference on Software Engineering Advances (ICSEAâ€™12), Xpert Publishing Services, Lisbon, Portugal, 2012,pp. 205â€“212",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
84,"[S84] S. Stolberg, Enabling agile testing through continuous integration, in: Proceedings of the 12th Agile Conference (AGILEâ€™09), IEEE, Hannover, Germany, 2009, pp. 369â€“374.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
85,"[S85] T. Theodoropoulos, M. Hofberg, D. Kern, Technical debt fromthe stakeholder perspective, in: Proceedings of the 2nd International Workshop on Managing Technical Debt (MTDâ€™11), ACM,Waikiki, Honolulu, HI, USA, 2011, pp. 43â€“46.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
86,"[S86] C. Verhoef, How to implement the future?, in: Proceedingsof the 26th Euromicro Conference (EURMICâ€™00), vol. 31, IEEE,Maastricht, The Netherlands, 2000, pp. 32â€“47.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
87,"[S87] A. Vetro, Using automatic static analysis to identify technical debt, in: Proceedings of the 34th International Conferenceon Software Engineering (ICSEâ€™12), IEEE, Zurich, Switzerland,2012, pp. 1613â€“1615.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
88,"[S88] P. Wang, J. Yang, L. Tan, R. Kroeger, J.D. Morgenthaler,Generating precise dependencies for large software, in: Proceedings of the 4th International Workshop on ManagingTechnical Debt (MTDâ€™13), IEEE, San Francisco, CA, USA, 2013,pp. 47â€“50.",Read,Accepted,No,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
89,"[S89] K. Wiklund, S. Eldh, D. Sundmark, K. Lundqvist, Technical debt in test automation, in: Proceedings of the 5th IEEEInternational Conference on Software Testing, Verificationand Validation (ICSTâ€™12), IEEE, Montreal, QC, Canada, 2012,pp. 887â€“892.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
90,"[S90] J. Xuan, Y. Hu, H. Jiang, Debt-prone bugs: technical debt insoftware maintenance, International Journal of Advancementsin Computing Technology 4 (19) (2012) 453â€“461.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
91,"[S91] N. Zazworka, C. Seaman, F. Shull, Prioritizing design debtinvestment opportunities, in: Proceedings of the 2nd International Workshop on Managing Technical Debt (MTDâ€™11), ACM,Waikiki, Honolulu, HI, USA, 2011, pp. 39â€“42.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
92,"[S92] N. Zazworka, M.A. Shaw, F. Shull, C. Seaman, Investigatingthe impact of design debt on software quality, in: Proceedings of the 2nd International Workshop on Managing Technical Debt (MTDâ€™11), ACM, Waikiki, Honolulu, HI, USA, 2011,pp. 17â€“23.",Read,Rejected,No,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;
93,"[S93] N. Zazworka, R.O. Spinola, A. Vetroâ€™, F. Shull, C. Seaman, Acase study on effectively identifying technical debt, in: Proceedings of the 17th International Conference on Evaluationand Assessment in Software Engineering (EASEâ€™13), ACM, Portode Galinhas, Brazil, 2013, pp. 42â€“47.",Read,Accepted,Yes,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.
94,"[S94] N. Zazworka, A. Vetroâ€™, C. Izurieta, S. Wong, Y. Cai, C. Seaman, F. Shull, Comparing four approaches for technical debtidentification, Software Quality Journal (2013) 1â€“24.",Read,Accepted,Yes,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.